Point,Northing,Easting,Elevation,Code,Timestamp,Comment
1581,243372.3382,2385646.279,324.129,JST XS GND,2004-10-15T12:00:00,XS-1
1582,243368.4327,2385646.292,323.671,XS GND,2004-10-15T12:00:30,
1583,243366.3712,2385646.363,323.286,XS GND,2004-10-15T12:01:00,
1584,243362.3885,2385646.299,323.379,XS GND,2004-10-15T12:01:30,
1585,243359.3754,2385646.384,322.909,XS GND,2004-10-15T12:02:00,
1586,243356.3747,2385646.444,322.617,XS GND,2004-10-15T12:02:30,
1587,243355.5801,2385646.431,322.467,XS GND,2004-10-15T12:03:00,
1588,243355.1541,2385646.345,322.167,XS GND,2004-10-15T12:03:30,
1589,243354.209,2385646.566,321.897,XS GND,2004-10-15T12:04:00,
1590,243353.0955,2385646.497,321.838,XS GND,2004-10-15T12:04:30,
1591,243352.1686,2385646.535,322.114,XS GND,2004-10-15T12:05:00,
1592,243351.7642,2385646.542,322.059,XS GND,2004-10-15T12:05:30,
1593,243351.3209,2385646.628,322.867,XS GND,2004-10-15T12:06:00,
1594,243350.7278,2385646.464,323.121,XS GND,2004-10-15T12:06:30,
1595,243350.4156,2385646.347,324.24,XS GND,2004-10-15T12:07:00,
1596,243348.4043,2385646.385,324.612,XS GND,2004-10-15T12:07:30,
1597,243342.4893,2385646.328,325.189,XS GND,2004-10-15T12:08:00,
1598,243332.6838,2385645.673,325.133,JEND XS GND,2004-10-15T12:08:30,
1599,243377.5267,2385631.021,323.272,JST XS GND,2004-10-15T12:09:00,XS-2
1600,243377.8907,2385627.421,322.9,XS GND,2004-10-15T12:09:30,
1601,243378.4736,2385623.484,322.708,XS GND,2004-10-15T12:10:00,
1602,243378.6951,2385620.7,322.667,XS GND,2004-10-15T12:10:30,
1603,243378.7687,2385619.843,322.259,XS GND,2004-10-15T12:11:00,
1604,243378.841,2385619.515,321.474,XS GND,2004-10-15T12:11:30,
1605,243379.1203,2385617.996,321.602,XS GND,2004-10-15T12:12:00,
1606,243379.2724,2385616.822,321.221,XS GND,2004-10-15T12:12:30,
1607,243379.5211,2385615.722,320.92,XS GND,2004-10-15T12:13:00,
1608,243379.9684,2385614.071,321.411,XS GND,2004-10-15T12:13:30,
1609,243380.3763,2385612.443,321.246,XS GND,2004-10-15T12:14:00,
1610,243380.6451,2385611.835,321.609,XS GND,2004-10-15T12:14:30,
1611,243380.3915,2385611.605,324.188,XS GND,2004-10-15T12:15:00,
1612,243380.5968,2385609.714,324.417,XS GND,2004-10-15T12:15:30,
1613,243381.4565,2385602.899,323.856,JEND XS GND,2004-10-15T12:16:00,
1614,243841.7824,2385278.768,313.807,JST XS GND,2004-10-15T12:16:30,XS-6
1615,243840.8063,2385274.625,313.701,XS GND,2004-10-15T12:17:00,
1616,243840.0612,2385271.592,313.553,XS GND,2004-10-15T12:17:30,
1617,243839.2577,2385268.127,312.927,XS GND,2004-10-15T12:18:00,
1618,243839.1511,2385267.247,312.056,XS GND,2004-10-15T12:18:30,
1619,243838.9256,2385266.169,311.691,XS GND,2004-10-15T12:19:00,
1620,243838.6666,2385265.482,311.408,XS GND,2004-10-15T12:19:30,
1621,243838.1557,2385264.278,311.065,XS GND,2004-10-15T12:20:00,
1622,243837.5122,2385262.083,310.874,XS GND,2004-10-15T12:20:30,
